recall: 0.1432, epochs: 37, hidden1: 640, hidden2: 128 
recall: 0.8808, epochs: 31, hidden1: 256, hidden2: 192 
recall: 0.9774, epochs: 33, hidden1: 768, hidden2: 448 
recall: 0.9872, epochs: 78, hidden1: 1024, hidden2: 640 
recall: 0.9854, epochs: 79, hidden1: 1024, hidden2: 512 
recall: 0.9232, epochs: 15, hidden1: 640, hidden2: 384 
recall: 0.9854, epochs: 73, hidden1: 1024, hidden2: 576 
recall: 0.313, epochs: 7, hidden1: 384, hidden2: 192 
recall: 0.976, epochs: 30, hidden1: 768, hidden2: 768 
recall: 0.9878, epochs: 89, hidden1: 1024, hidden2: 640 
recall: 0.9818, epochs: 100, hidden1: 512, hidden2: 320 
recall: 0.986, epochs: 77, hidden1: 896, hidden2: 704 
recall: 0.9876, epochs: 98, hidden1: 896, hidden2: 896 
recall: 0.9858, epochs: 98, hidden1: 896, hidden2: 896 
recall: 0.9822, epochs: 59, hidden1: 896, hidden2: 896 
recall: 0.9864, epochs: 89, hidden1: 768, hidden2: 704 
recall: 0.983, epochs: 57, hidden1: 896, hidden2: 832 
recall: 0.988, epochs: 90, hidden1: 960, hidden2: 960 
recall: 0.9872, epochs: 66, hidden1: 1024, hidden2: 1024 
recall: 0.9874, epochs: 87, hidden1: 960, hidden2: 960 
recall: 0.9804, epochs: 48, hidden1: 704, hidden2: 576 
recall: 0.9866, epochs: 88, hidden1: 832, hidden2: 768 
recall: 0.987, epochs: 93, hidden1: 960, hidden2: 832 
recall: 0.9868, epochs: 84, hidden1: 960, hidden2: 896 
recall: 0.9868, epochs: 95, hidden1: 832, hidden2: 704 
recall: 0.9864, epochs: 70, hidden1: 832, hidden2: 768 
recall: 0.9876, epochs: 83, hidden1: 960, hidden2: 960 
recall: 0.9878, epochs: 100, hidden1: 960, hidden2: 832 
recall: 0.9866, epochs: 91, hidden1: 1024, hidden2: 1024 
recall: 0.984, epochs: 67, hidden1: 576, hidden2: 512 
recall: 0.9884, epochs: 100, hidden1: 960, hidden2: 640 
recall: 0.987, epochs: 93, hidden1: 960, hidden2: 640 
recall: 0.9874, epochs: 83, hidden1: 960, hidden2: 640 
recall: 0.987, epochs: 99, hidden1: 832, hidden2: 576 
recall: 0.987, epochs: 90, hidden1: 1024, hidden2: 832 
recall: 0.9336, epochs: 80, hidden1: 256, hidden2: 192 
recall: 0.9842, epochs: 74, hidden1: 1024, hidden2: 448 
recall: 0.9864, epochs: 94, hidden1: 768, hidden2: 640 
recall: 0.9854, epochs: 85, hidden1: 960, hidden2: 512 
recall: 0.9882, epochs: 100, hidden1: 896, hidden2: 768 
recall: 0.9856, epochs: 77, hidden1: 704, hidden2: 576 
recall: 0.9874, epochs: 99, hidden1: 896, hidden2: 768 
recall: 0.988, epochs: 95, hidden1: 1024, hidden2: 704 
recall: 0.9874, epochs: 95, hidden1: 1024, hidden2: 704 
recall: 0.985, epochs: 89, hidden1: 1024, hidden2: 448 
recall: 0.9864, epochs: 81, hidden1: 896, hidden2: 704 
recall: 0.9868, epochs: 95, hidden1: 832, hidden2: 640 
recall: 0.9598, epochs: 20, hidden1: 896, hidden2: 768 
recall: 0.9876, epochs: 86, hidden1: 1024, hidden2: 960 
recall: 0.9776, epochs: 75, hidden1: 448, hidden2: 320 
recall: 0.9874, epochs: 91, hidden1: 960, hidden2: 576 
recall: 0.9876, epochs: 100, hidden1: 960, hidden2: 832 
recall: 0.9876, epochs: 97, hidden1: 896, hidden2: 704 
recall: 0.9858, epochs: 97, hidden1: 960, hidden2: 832 
recall: 0.9864, epochs: 100, hidden1: 1024, hidden2: 960 
recall: 0.9874, epochs: 92, hidden1: 896, hidden2: 768 
recall: 0.9872, epochs: 87, hidden1: 960, hidden2: 896 
recall: 0.9874, epochs: 95, hidden1: 1024, hidden2: 640 
recall: 0.9848, epochs: 79, hidden1: 832, hidden2: 704 
recall: 0.9878, epochs: 89, hidden1: 960, hidden2: 896 
recall: 0.9816, epochs: 43, hidden1: 768, hidden2: 640 
recall: 0.9868, epochs: 89, hidden1: 960, hidden2: 896 
recall: 0.989, epochs: 96, hidden1: 1024, hidden2: 1024 
recall: 0.9874, epochs: 96, hidden1: 1024, hidden2: 1024 
recall: 0.988, epochs: 92, hidden1: 896, hidden2: 768 
recall: 0.9844, epochs: 84, hidden1: 896, hidden2: 768 
recall: 0.987, epochs: 92, hidden1: 832, hidden2: 704 
recall: 0.9858, epochs: 82, hidden1: 896, hidden2: 768 
recall: 0.9874, epochs: 86, hidden1: 1024, hidden2: 1024 
recall: 0.9876, epochs: 93, hidden1: 1024, hidden2: 576 
recall: 0.9876, epochs: 91, hidden1: 896, hidden2: 832 
recall: 0.9876, epochs: 100, hidden1: 960, hidden2: 832 
recall: 0.987, epochs: 97, hidden1: 960, hidden2: 704 
recall: 0.414, epochs: 97, hidden1: 960, hidden2: 128 
recall: 0.988, epochs: 94, hidden1: 1024, hidden2: 960 
recall: 0.8862, epochs: 5, hidden1: 1024, hidden2: 960 
recall: 0.9882, epochs: 94, hidden1: 1024, hidden2: 1024 
recall: 0.9882, epochs: 94, hidden1: 1024, hidden2: 1024 
recall: 0.9886, epochs: 87, hidden1: 1024, hidden2: 1024 
recall: 0.9872, epochs: 88, hidden1: 1024, hidden2: 1024 
recall: 0.9864, epochs: 71, hidden1: 1024, hidden2: 1024 
recall: 0.9882, epochs: 92, hidden1: 960, hidden2: 896 
recall: 0.9866, epochs: 97, hidden1: 960, hidden2: 896 
recall: 0.9862, epochs: 85, hidden1: 1024, hidden2: 960 
recall: 0.9882, epochs: 94, hidden1: 960, hidden2: 960 
recall: 0.9864, epochs: 90, hidden1: 960, hidden2: 896 
recall: 0.9872, epochs: 93, hidden1: 960, hidden2: 960 
recall: 0.9874, epochs: 82, hidden1: 896, hidden2: 896 
recall: 0.9872, epochs: 87, hidden1: 960, hidden2: 960 
recall: 0.9888, epochs: 98, hidden1: 1024, hidden2: 1024 
recall: 0.9864, epochs: 98, hidden1: 1024, hidden2: 1024 
recall: 0.9886, epochs: 95, hidden1: 1024, hidden2: 1024 
recall: 0.9868, epochs: 100, hidden1: 1024, hidden2: 1024 
recall: 0.9878, epochs: 95, hidden1: 1024, hidden2: 1024 
recall: 0.815, epochs: 98, hidden1: 256, hidden2: 128 
